,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
74,289451013,1130668,BANKEX25OCT71200CE,BANKEX,0.0,2025-10-30,71200.0,0.05,30,CE,BFO-OPT,BFO
75,289466117,1130727,BANKEX25OCT71200PE,BANKEX,0.0,2025-10-30,71200.0,0.05,30,PE,BFO-OPT,BFO
76,289468933,1130738,BANKEX25OCT71100CE,BANKEX,0.0,2025-10-30,71100.0,0.05,30,CE,BFO-OPT,BFO
77,289483269,1130794,BANKEX25OCT71100PE,BANKEX,0.0,2025-10-30,71100.0,0.05,30,PE,BFO-OPT,BFO
78,289462533,1130713,BANKEX25OCT71000PE,BANKEX,0.0,2025-10-30,71000.0,0.05,30,PE,BFO-OPT,BFO
79,289486341,1130806,BANKEX25OCT71000CE,BANKEX,0.0,2025-10-30,71000.0,0.05,30,CE,BFO-OPT,BFO
80,289202693,1129698,BANKEX25OCT70900CE,BANKEX,0.0,2025-10-30,70900.0,0.05,30,CE,BFO-OPT,BFO
81,289236229,1129829,BANKEX25OCT70900PE,BANKEX,0.0,2025-10-30,70900.0,0.05,30,PE,BFO-OPT,BFO
82,289140741,1129456,BANKEX25OCT70800PE,BANKEX,0.0,2025-10-30,70800.0,0.05,30,PE,BFO-OPT,BFO
83,289239045,1129840,BANKEX25OCT70800CE,BANKEX,0.0,2025-10-30,70800.0,0.05,30,CE,BFO-OPT,BFO
84,289143813,1129468,BANKEX25OCT70700CE,BANKEX,0.0,2025-10-30,70700.0,0.05,30,CE,BFO-OPT,BFO
85,289223429,1129779,BANKEX25OCT70700PE,BANKEX,0.0,2025-10-30,70700.0,0.05,30,PE,BFO-OPT,BFO
86,289132549,1129424,BANKEX25OCT70600PE,BANKEX,0.0,2025-10-30,70600.0,0.05,30,PE,BFO-OPT,BFO
87,289229829,1129804,BANKEX25OCT70600CE,BANKEX,0.0,2025-10-30,70600.0,0.05,30,CE,BFO-OPT,BFO
88,289136901,1129441,BANKEX25OCT70500CE,BANKEX,0.0,2025-10-30,70500.0,0.05,30,CE,BFO-OPT,BFO
89,289162245,1129540,BANKEX25OCT70500PE,BANKEX,0.0,2025-10-30,70500.0,0.05,30,PE,BFO-OPT,BFO
90,289122309,1129384,BANKEX25OCT70400PE,BANKEX,0.0,2025-10-30,70400.0,0.05,30,PE,BFO-OPT,BFO
91,289217541,1129756,BANKEX25OCT70400CE,BANKEX,0.0,2025-10-30,70400.0,0.05,30,CE,BFO-OPT,BFO
92,289128197,1129407,BANKEX25OCT70300CE,BANKEX,0.0,2025-10-30,70300.0,0.05,30,CE,BFO-OPT,BFO
93,289153541,1129506,BANKEX25OCT70300PE,BANKEX,0.0,2025-10-30,70300.0,0.05,30,PE,BFO-OPT,BFO
94,227505669,888694,BANKEX25OCT70200PE,BANKEX,0.0,2025-10-30,70200.0,0.05,30,PE,BFO-OPT,BFO
95,227589637,889022,BANKEX25OCT70200CE,BANKEX,0.0,2025-10-30,70200.0,0.05,30,CE,BFO-OPT,BFO
96,227514373,888728,BANKEX25OCT70100CE,BANKEX,0.0,2025-10-30,70100.0,0.05,30,CE,BFO-OPT,BFO
97,227566085,888930,BANKEX25OCT70100PE,BANKEX,0.0,2025-10-30,70100.0,0.05,30,PE,BFO-OPT,BFO
98,227573253,888958,BANKEX25OCT70000CE,BANKEX,0.0,2025-10-30,70000.0,0.05,30,CE,BFO-OPT,BFO
99,227642117,889227,BANKEX25OCT70000PE,BANKEX,0.0,2025-10-30,70000.0,0.05,30,PE,BFO-OPT,BFO
100,227340037,888047,BANKEX25OCT69900PE,BANKEX,0.0,2025-10-30,69900.0,0.05,30,PE,BFO-OPT,BFO
101,227410181,888321,BANKEX25OCT69900CE,BANKEX,0.0,2025-10-30,69900.0,0.05,30,CE,BFO-OPT,BFO
102,220489477,861287,BANKEX25OCT69800CE,BANKEX,0.0,2025-10-30,69800.0,0.05,30,CE,BFO-OPT,BFO
103,220528901,861441,BANKEX25OCT69800PE,BANKEX,0.0,2025-10-30,69800.0,0.05,30,PE,BFO-OPT,BFO
104,220535301,861466,BANKEX25OCT69700CE,BANKEX,0.0,2025-10-30,69700.0,0.05,30,CE,BFO-OPT,BFO
105,220571141,861606,BANKEX25OCT69700PE,BANKEX,0.0,2025-10-30,69700.0,0.05,30,PE,BFO-OPT,BFO
106,220477445,861240,BANKEX25OCT69600CE,BANKEX,0.0,2025-10-30,69600.0,0.05,30,CE,BFO-OPT,BFO
107,220517637,861397,BANKEX25OCT69600PE,BANKEX,0.0,2025-10-30,69600.0,0.05,30,PE,BFO-OPT,BFO
108,220524549,861424,BANKEX25OCT69500CE,BANKEX,0.0,2025-10-30,69500.0,0.05,30,CE,BFO-OPT,BFO
109,220560901,861566,BANKEX25OCT69500PE,BANKEX,0.0,2025-10-30,69500.0,0.05,30,PE,BFO-OPT,BFO
110,220504837,861347,BANKEX25OCT69400PE,BANKEX,0.0,2025-10-30,69400.0,0.05,30,PE,BFO-OPT,BFO
111,220567045,861590,BANKEX25OCT69400CE,BANKEX,0.0,2025-10-30,69400.0,0.05,30,CE,BFO-OPT,BFO
112,220511493,861373,BANKEX25OCT69300CE,BANKEX,0.0,2025-10-30,69300.0,0.05,30,CE,BFO-OPT,BFO
113,220548869,861519,BANKEX25OCT69300PE,BANKEX,0.0,2025-10-30,69300.0,0.05,30,PE,BFO-OPT,BFO
114,220556549,861549,BANKEX25OCT69200CE,BANKEX,0.0,2025-10-30,69200.0,0.05,30,CE,BFO-OPT,BFO
115,220592901,861691,BANKEX25OCT69200PE,BANKEX,0.0,2025-10-30,69200.0,0.05,30,PE,BFO-OPT,BFO
116,220499717,861327,BANKEX25OCT69100CE,BANKEX,0.0,2025-10-30,69100.0,0.05,30,CE,BFO-OPT,BFO
117,220538373,861478,BANKEX25OCT69100PE,BANKEX,0.0,2025-10-30,69100.0,0.05,30,PE,BFO-OPT,BFO
118,220544005,861500,BANKEX25OCT69000CE,BANKEX,0.0,2025-10-30,69000.0,0.05,30,CE,BFO-OPT,BFO
119,220579845,861640,BANKEX25OCT69000PE,BANKEX,0.0,2025-10-30,69000.0,0.05,30,PE,BFO-OPT,BFO
120,220475397,861232,BANKEX25OCT68900PE,BANKEX,0.0,2025-10-30,68900.0,0.05,30,PE,BFO-OPT,BFO
121,220617221,861786,BANKEX25OCT68900CE,BANKEX,0.0,2025-10-30,68900.0,0.05,30,CE,BFO-OPT,BFO
122,220563717,861577,BANKEX25OCT68800CE,BANKEX,0.0,2025-10-30,68800.0,0.05,30,CE,BFO-OPT,BFO
123,220600069,861719,BANKEX25OCT68800PE,BANKEX,0.0,2025-10-30,68800.0,0.05,30,PE,BFO-OPT,BFO
124,220464133,861188,BANKEX25OCT68700PE,BANKEX,0.0,2025-10-30,68700.0,0.05,30,PE,BFO-OPT,BFO
125,220606213,861743,BANKEX25OCT68700CE,BANKEX,0.0,2025-10-30,68700.0,0.05,30,CE,BFO-OPT,BFO
126,220470277,861212,BANKEX25OCT68600CE,BANKEX,0.0,2025-10-30,68600.0,0.05,30,CE,BFO-OPT,BFO
127,220589317,861677,BANKEX25OCT68600PE,BANKEX,0.0,2025-10-30,68600.0,0.05,30,PE,BFO-OPT,BFO
128,220595461,861701,BANKEX25OCT68500CE,BANKEX,0.0,2025-10-30,68500.0,0.05,30,CE,BFO-OPT,BFO
129,220631557,861842,BANKEX25OCT68500PE,BANKEX,0.0,2025-10-30,68500.0,0.05,30,PE,BFO-OPT,BFO
130,220460037,861172,BANKEX25OCT68400CE,BANKEX,0.0,2025-10-30,68400.0,0.05,30,CE,BFO-OPT,BFO
131,220497669,861319,BANKEX25OCT68400PE,BANKEX,0.0,2025-10-30,68400.0,0.05,30,PE,BFO-OPT,BFO
132,220583685,861655,BANKEX25OCT68300CE,BANKEX,0.0,2025-10-30,68300.0,0.05,30,CE,BFO-OPT,BFO
133,220620293,861798,BANKEX25OCT68300PE,BANKEX,0.0,2025-10-30,68300.0,0.05,30,PE,BFO-OPT,BFO
134,220485637,861272,BANKEX25OCT68200PE,BANKEX,0.0,2025-10-30,68200.0,0.05,30,PE,BFO-OPT,BFO
135,220627461,861826,BANKEX25OCT68200CE,BANKEX,0.0,2025-10-30,68200.0,0.05,30,CE,BFO-OPT,BFO
136,220572933,861613,BANKEX25OCT68100CE,BANKEX,0.0,2025-10-30,68100.0,0.05,30,CE,BFO-OPT,BFO
137,220609029,861754,BANKEX25OCT68100PE,BANKEX,0.0,2025-10-30,68100.0,0.05,30,PE,BFO-OPT,BFO
138,220473093,861223,BANKEX25OCT68000PE,BANKEX,0.0,2025-10-30,68000.0,0.05,30,PE,BFO-OPT,BFO
139,220615173,861778,BANKEX25OCT68000CE,BANKEX,0.0,2025-10-30,68000.0,0.05,30,CE,BFO-OPT,BFO
140,220513285,861380,BANKEX25OCT67900CE,BANKEX,0.0,2025-10-30,67900.0,0.05,30,CE,BFO-OPT,BFO
141,220551173,861528,BANKEX25OCT67900PE,BANKEX,0.0,2025-10-30,67900.0,0.05,30,PE,BFO-OPT,BFO
142,220494853,861308,BANKEX25OCT67800PE,BANKEX,0.0,2025-10-30,67800.0,0.05,30,PE,BFO-OPT,BFO
143,220558341,861556,BANKEX25OCT67800CE,BANKEX,0.0,2025-10-30,67800.0,0.05,30,CE,BFO-OPT,BFO
144,220501509,861334,BANKEX25OCT67700CE,BANKEX,0.0,2025-10-30,67700.0,0.05,30,CE,BFO-OPT,BFO
145,220539909,861484,BANKEX25OCT67700PE,BANKEX,0.0,2025-10-30,67700.0,0.05,30,PE,BFO-OPT,BFO
146,220545541,861506,BANKEX25OCT67600CE,BANKEX,0.0,2025-10-30,67600.0,0.05,30,CE,BFO-OPT,BFO
147,220581637,861647,BANKEX25OCT67600PE,BANKEX,0.0,2025-10-30,67600.0,0.05,30,PE,BFO-OPT,BFO
148,220489221,861286,BANKEX25OCT67500CE,BANKEX,0.0,2025-10-30,67500.0,0.05,30,CE,BFO-OPT,BFO
149,220528645,861440,BANKEX25OCT67500PE,BANKEX,0.0,2025-10-30,67500.0,0.05,30,PE,BFO-OPT,BFO
150,220535045,861465,BANKEX25OCT67400CE,BANKEX,0.0,2025-10-30,67400.0,0.05,30,CE,BFO-OPT,BFO
151,220570885,861605,BANKEX25OCT67400PE,BANKEX,0.0,2025-10-30,67400.0,0.05,30,PE,BFO-OPT,BFO
152,220517381,861396,BANKEX25OCT67300PE,BANKEX,0.0,2025-10-30,67300.0,0.05,30,PE,BFO-OPT,BFO
153,220577285,861630,BANKEX25OCT67300CE,BANKEX,0.0,2025-10-30,67300.0,0.05,30,CE,BFO-OPT,BFO
154,220524293,861423,BANKEX25OCT67200CE,BANKEX,0.0,2025-10-30,67200.0,0.05,30,CE,BFO-OPT,BFO
155,220560645,861565,BANKEX25OCT67200PE,BANKEX,0.0,2025-10-30,67200.0,0.05,30,PE,BFO-OPT,BFO
156,220504581,861346,BANKEX25OCT67100PE,BANKEX,0.0,2025-10-30,67100.0,0.05,30,PE,BFO-OPT,BFO
157,220566789,861589,BANKEX25OCT67100CE,BANKEX,0.0,2025-10-30,67100.0,0.05,30,CE,BFO-OPT,BFO
158,220511237,861372,BANKEX25OCT67000CE,BANKEX,0.0,2025-10-30,67000.0,0.05,30,CE,BFO-OPT,BFO
159,220548613,861518,BANKEX25OCT67000PE,BANKEX,0.0,2025-10-30,67000.0,0.05,30,PE,BFO-OPT,BFO
160,220585477,861662,BANKEX25OCT66900CE,BANKEX,0.0,2025-10-30,66900.0,0.05,30,CE,BFO-OPT,BFO
161,220622597,861807,BANKEX25OCT66900PE,BANKEX,0.0,2025-10-30,66900.0,0.05,30,PE,BFO-OPT,BFO
162,220487429,861279,BANKEX25OCT66800PE,BANKEX,0.0,2025-10-30,66800.0,0.05,30,PE,BFO-OPT,BFO
163,220628741,861831,BANKEX25OCT66800CE,BANKEX,0.0,2025-10-30,66800.0,0.05,30,CE,BFO-OPT,BFO
164,220573957,861617,BANKEX25OCT66700CE,BANKEX,0.0,2025-10-30,66700.0,0.05,30,CE,BFO-OPT,BFO
165,220610565,861760,BANKEX25OCT66700PE,BANKEX,0.0,2025-10-30,66700.0,0.05,30,PE,BFO-OPT,BFO
166,220475141,861231,BANKEX25OCT66600PE,BANKEX,0.0,2025-10-30,66600.0,0.05,30,PE,BFO-OPT,BFO
167,220616709,861784,BANKEX25OCT66600CE,BANKEX,0.0,2025-10-30,66600.0,0.05,30,CE,BFO-OPT,BFO
168,220482053,861258,BANKEX25OCT66500CE,BANKEX,0.0,2025-10-30,66500.0,0.05,30,CE,BFO-OPT,BFO
169,220599813,861718,BANKEX25OCT66500PE,BANKEX,0.0,2025-10-30,66500.0,0.05,30,PE,BFO-OPT,BFO
170,220463877,861187,BANKEX25OCT66400PE,BANKEX,0.0,2025-10-30,66400.0,0.05,30,PE,BFO-OPT,BFO
171,220605957,861742,BANKEX25OCT66400CE,BANKEX,0.0,2025-10-30,66400.0,0.05,30,CE,BFO-OPT,BFO
172,220469765,861210,BANKEX25OCT66300CE,BANKEX,0.0,2025-10-30,66300.0,0.05,30,CE,BFO-OPT,BFO
173,220509189,861364,BANKEX25OCT66300PE,BANKEX,0.0,2025-10-30,66300.0,0.05,30,PE,BFO-OPT,BFO
174,220595205,861700,BANKEX25OCT66200CE,BANKEX,0.0,2025-10-30,66200.0,0.05,30,CE,BFO-OPT,BFO
175,220585221,861661,BANKEX25OCT64600CE,BANKEX,0.0,2025-10-30,64600.0,0.05,30,CE,BFO-OPT,BFO
176,220622341,861806,BANKEX25OCT64600PE,BANKEX,0.0,2025-10-30,64600.0,0.05,30,PE,BFO-OPT,BFO
177,220487173,861278,BANKEX25OCT64500PE,BANKEX,0.0,2025-10-30,64500.0,0.05,30,PE,BFO-OPT,BFO
178,220628229,861829,BANKEX25OCT64500CE,BANKEX,0.0,2025-10-30,64500.0,0.05,30,CE,BFO-OPT,BFO
179,220573701,861616,BANKEX25OCT64400CE,BANKEX,0.0,2025-10-30,64400.0,0.05,30,CE,BFO-OPT,BFO
180,220610309,861759,BANKEX25OCT64400PE,BANKEX,0.0,2025-10-30,64400.0,0.05,30,PE,BFO-OPT,BFO
181,220474885,861230,BANKEX25OCT64300PE,BANKEX,0.0,2025-10-30,64300.0,0.05,30,PE,BFO-OPT,BFO
182,220616453,861783,BANKEX25OCT64300CE,BANKEX,0.0,2025-10-30,64300.0,0.05,30,CE,BFO-OPT,BFO
183,220481541,861256,BANKEX25OCT64200CE,BANKEX,0.0,2025-10-30,64200.0,0.05,30,CE,BFO-OPT,BFO
184,220599557,861717,BANKEX25OCT64200PE,BANKEX,0.0,2025-10-30,64200.0,0.05,30,PE,BFO-OPT,BFO
185,220463621,861186,BANKEX25OCT64100PE,BANKEX,0.0,2025-10-30,64100.0,0.05,30,PE,BFO-OPT,BFO
186,220605701,861741,BANKEX25OCT64100CE,BANKEX,0.0,2025-10-30,64100.0,0.05,30,CE,BFO-OPT,BFO
187,220469509,861209,BANKEX25OCT64000CE,BANKEX,0.0,2025-10-30,64000.0,0.05,30,CE,BFO-OPT,BFO
188,220508933,861363,BANKEX25OCT64000PE,BANKEX,0.0,2025-10-30,64000.0,0.05,30,PE,BFO-OPT,BFO
189,220546565,861510,BANKEX25OCT63900CE,BANKEX,0.0,2025-10-30,63900.0,0.05,30,CE,BFO-OPT,BFO
190,220583173,861653,BANKEX25OCT63900PE,BANKEX,0.0,2025-10-30,63900.0,0.05,30,PE,BFO-OPT,BFO
191,220490757,861292,BANKEX25OCT63800CE,BANKEX,0.0,2025-10-30,63800.0,0.05,30,CE,BFO-OPT,BFO
192,220530949,861449,BANKEX25OCT63800PE,BANKEX,0.0,2025-10-30,63800.0,0.05,30,PE,BFO-OPT,BFO
193,220536069,861469,BANKEX25OCT63700CE,BANKEX,0.0,2025-10-30,63700.0,0.05,30,CE,BFO-OPT,BFO
194,220572677,861612,BANKEX25OCT63700PE,BANKEX,0.0,2025-10-30,63700.0,0.05,30,PE,BFO-OPT,BFO
195,220519685,861405,BANKEX25OCT63600PE,BANKEX,0.0,2025-10-30,63600.0,0.05,30,PE,BFO-OPT,BFO
196,220578053,861633,BANKEX25OCT63600CE,BANKEX,0.0,2025-10-30,63600.0,0.05,30,CE,BFO-OPT,BFO
197,220525573,861428,BANKEX25OCT63500CE,BANKEX,0.0,2025-10-30,63500.0,0.05,30,CE,BFO-OPT,BFO
198,220562437,861572,BANKEX25OCT63500PE,BANKEX,0.0,2025-10-30,63500.0,0.05,30,PE,BFO-OPT,BFO
199,220506629,861354,BANKEX25OCT63400PE,BANKEX,0.0,2025-10-30,63400.0,0.05,30,PE,BFO-OPT,BFO
200,220567813,861593,BANKEX25OCT63400CE,BANKEX,0.0,2025-10-30,63400.0,0.05,30,CE,BFO-OPT,BFO
201,220512773,861378,BANKEX25OCT63300CE,BANKEX,0.0,2025-10-30,63300.0,0.05,30,CE,BFO-OPT,BFO
202,220550661,861526,BANKEX25OCT63300PE,BANKEX,0.0,2025-10-30,63300.0,0.05,30,PE,BFO-OPT,BFO
203,220557317,861552,BANKEX25OCT63200CE,BANKEX,0.0,2025-10-30,63200.0,0.05,30,CE,BFO-OPT,BFO
204,220593669,861694,BANKEX25OCT63200PE,BANKEX,0.0,2025-10-30,63200.0,0.05,30,PE,BFO-OPT,BFO
205,220500997,861332,BANKEX25OCT63100CE,BANKEX,0.0,2025-10-30,63100.0,0.05,30,CE,BFO-OPT,BFO
206,220539397,861482,BANKEX25OCT63100PE,BANKEX,0.0,2025-10-30,63100.0,0.05,30,PE,BFO-OPT,BFO
207,220544773,861503,BANKEX25OCT63000CE,BANKEX,0.0,2025-10-30,63000.0,0.05,30,CE,BFO-OPT,BFO
208,220581125,861645,BANKEX25OCT63000PE,BANKEX,0.0,2025-10-30,63000.0,0.05,30,PE,BFO-OPT,BFO
