,exchange_token,trading_symbol,company_name,close_price,expiry,strike,tick_size,lot_size,instrument_name,option_type,segment,exchange,fin_instrm_pdct_tp_cd,asset_code
61,758122,724MP45-SG,SDL MP 7.24% 2045,0.0,,0.0,0.01,100,SG,,SG,NSE,,
62,10330,778ML31-SG,SDL ML 7.78% 2031,0.0,,0.0,0.01,100,SG,,SG,NSE,,
63,2406,NEULANDLAB-EQ,NEULAND LAB LTD.,16198.0,,0.0,1.0,1,EQ,,EQ,NSE,,
64,17794,SOMICONVEY-EQ,SOMI CONVEYOR BELT. LTD.,143.13,,0.0,0.01,1,EQ,,EQ,NSE,,
65,25058,785IIFL27-N0,IIFL SAMASTA 7.85% 2027,0.0,,0.0,0.01,1,N0,,N0,NSE,,
66,1274,VASA-SM,VASA RETAIL & OVERSEA LTD,0.0,,0.0,0.05,4000,SM,,SM,NSE,,
67,25145,8049ABHF27-N0,ABHFL 8.0490% 2027 F1,0.0,,0.0,0.01,1,N0,,N0,NSE,,
68,5499,SFMP49GD-MF,SBIAMC - SFMP49GD,0.0,,0.0,0.01,1,MF,,MF,NSE,,
69,759338,744TS56-SG,SDL TS 7.44% 2056,0.0,,0.0,0.01,100,SG,,SG,NSE,,
70,5740,686RJ36-SG,SDL RJ 6.86% 2036,0.0,,0.0,0.01,100,SG,,SG,NSE,,
71,21153,774AP32A-SG,SDL AP 7.74% 2032,0.0,,0.0,0.01,100,SG,,SG,NSE,,
72,5090,717TS41-SG,SDL TS 7.17% 2041,0.0,,0.0,0.01,100,SG,,SG,NSE,,
73,21899,705KL30-SG,SDL KL 7.05% 2030,0.0,,0.0,0.01,100,SG,,SG,NSE,,
74,30168,718OR46-SG,SDL OR 7.18% 2046,0.0,,0.0,0.01,100,SG,,SG,NSE,,
75,12121,AARTISURF-P1,AARTI SURFACTANTS LIMITED,0.0,,0.0,0.05,1,P1,,P1,NSE,,
76,15235,98SFIL26-NU,SEC RE NCD 9.80% SR.V,0.0,,0.0,0.01,1,NU,,NU,NSE,,
77,19681,RCDL-SM,RAJGOR CASTOR DERIVATI L,26.45,,0.0,0.05,3000,SM,,SM,NSE,,
78,15500,739HR31-SG,SDL HR 7.39% 2031,0.0,,0.0,0.01,100,SG,,SG,NSE,,
79,22161,718CG27-SG,SDL CG 7.18% 2027,0.0,,0.0,0.01,100,SG,,SG,NSE,,
80,22304,652TS50-SG,SDL TS 6.52% 2050,0.0,,0.0,0.01,100,SG,,SG,NSE,,
81,23915,LIQUIDBETF-EQ,BFAM - LIQUIDBETF,1052.36,,0.0,0.01,1,EQ,,EQ,NSE,,
82,19174,75AP41-SG,SDL AP 7.5% 2041,0.0,,0.0,0.01,100,SG,,SG,NSE,,
83,19774,888SCL25D-NC,SEC RE NCD 9.57% SR X,0.0,,0.0,0.01,1,NC,,NC,NSE,,
84,1830,658GA31-SG,SDL GA 6.58% 2031,0.0,,0.0,0.01,100,SG,,SG,NSE,,
85,25355,713AS34-SG,SDL AS 7.13% 2034,0.0,,0.0,0.01,100,SG,,SG,NSE,,
86,22164,710UK30-SG,SDL UK 7.10% 2030,0.0,,0.0,0.01,100,SG,,SG,NSE,,
87,4991,691GJ30-SG,SDL GJ 6.91% 2030,0.0,,0.0,0.01,100,SG,,SG,NSE,,
88,19761,ADFFOODS-EQ,ADF FOODS LIMITED,204.75,,0.0,0.01,1,EQ,,EQ,NSE,,
89,9380,IL&FSENGG-BZ,IL&FS ENG AND CONS CO LTD,27.0,,0.0,0.01,1,BZ,,BZ,NSE,,
90,9834,799TN42-SG,SDL TN 7.99% 2042,0.0,,0.0,0.01,100,SG,,SG,NSE,,
91,20744,764KA39-SG,SDL KA 7.64% 2039,0.0,,0.0,0.01,100,SG,,SG,NSE,,
92,24735,RPEL-EQ,RAGHAV PRODUCTIVITY ENH L,705.8,,0.0,0.05,1,EQ,,EQ,NSE,,
93,24568,735TS40-SG,SDL TS 7.35% 2040,0.0,,0.0,0.01,100,SG,,SG,NSE,,
94,20863,702AP30-SG,SDL AP 7.02% 2030,0.0,,0.0,0.01,100,SG,,SG,NSE,,
95,15067,BLAL-EQ,BEML LAND ASSETS LIMITED,209.13,,0.0,0.01,1,EQ,,EQ,NSE,,
96,20959,719JK29-SG,SDL JK 7.19% 2029,0.0,,0.0,0.01,100,SG,,SG,NSE,,
97,22497,766RJ34-SG,SDL RJ 7.66% 2034,0.0,,0.0,0.01,100,SG,,SG,NSE,,
98,1738,665TR35-SG,SDL TR 6.65% 2035,0.0,,0.0,0.01,100,SG,,SG,NSE,,
99,29553,NIFTYIETF-EQ,ICICI PRUD NIFTY ETF,286.98,,0.0,0.01,1,EQ,,EQ,NSE,,
100,13049,759KA38-SG,SDL KA 7.59% 2038,0.0,,0.0,0.01,100,SG,,SG,NSE,,
101,21067,SUPREMEPWR-SM,SUPREME POWER EQUIPMENT L,215.05,,0.0,0.05,500,SM,,SM,NSE,,
102,22057,697RJ30-SG,SDL RJ 6.97% 2030,0.0,,0.0,0.01,100,SG,,SG,NSE,,
103,28822,715NL34-SG,SDL NL 7.15% 2034,0.0,,0.0,0.01,100,SG,,SG,NSE,,
104,13057,UNIPARTS-EQ,UNIPARTS INDIA LIMITED,530.7,,0.0,0.05,1,EQ,,EQ,NSE,,
105,21997,703NL30-SG,SDL NL 7.03% 2030,0.0,,0.0,0.01,100,SG,,SG,NSE,,
106,15240,1050SFIL28-NV,SEC RE NCD SR.VI,0.0,,0.0,0.01,1,NV,,NV,NSE,,
107,13209,SGBSEP27-GB,2.50%GOLDBONDS2027SR-IV,13310.0,,0.0,0.01,1,GB,,GB,NSE,,
108,29877,VIVIDHA-EQ,VISAGAR POLYTEX LTD,0.75,,0.0,0.01,1,EQ,,EQ,NSE,,
109,20919,715AP36-SG,SDL AP 7.15% 2036,0.0,,0.0,0.01,100,SG,,SG,NSE,,
110,19974,736PFCL28-N2,7.36% TAX FREE NCD,1095.0,,0.0,0.01,1,N2,,N2,NSE,,
111,22239,EBBETF0431-EQ,EDELAMC - EBBETF0431,1388.3,,0.0,0.01,1,EQ,,EQ,NSE,,
112,23287,925SCL26B-YQ,SEC RE NCD 9.25% SR II,0.0,,0.0,0.01,1,YQ,,YQ,NSE,,
113,2142,MFSL-EQ,MAX FINANCIAL SERV LTD,1552.4,,0.0,0.1,1,EQ,,EQ,NSE,,
114,1947,661WB36-SG,SDL WB 6.61% 2036,0.0,,0.0,0.01,100,SG,,SG,NSE,,
115,6556,694AS31-SG,SDL AS 6.94% 2031,0.0,,0.0,0.01,100,SG,,SG,NSE,,
116,17145,AARTECH-EQ,AARTECH SOLONICS LIMITED,52.23,,0.0,0.01,1,EQ,,EQ,NSE,,
117,757438,709PY40-SG,SDL PY 7.09% 2040,0.0,,0.0,0.01,100,SG,,SG,NSE,,
118,757801,IGCL-EQ,INDOGULF CROPSCIENCES LTD,106.82,,0.0,0.01,1,EQ,,EQ,NSE,,
119,25443,KALANA-SM,KALANA ISPAT LIMITED,29.75,,0.0,0.05,2000,SM,,SM,NSE,,
120,20858,695HP34-SG,SDL HP 6.95% 2034,0.0,,0.0,0.01,100,SG,,SG,NSE,,
121,5359,KRSNAA-EQ,KRSNAA DIAGNOSTICS LTD,814.8,,0.0,0.05,1,EQ,,EQ,NSE,,
122,14107,76GJ35-SG,SDL GJ 7.6% 2035,0.0,,0.0,0.01,100,SG,,SG,NSE,,
123,17507,INCREDIBLE-EQ,INCREDIBLE INDUSTRIES LTD,45.88,,0.0,0.01,1,EQ,,EQ,NSE,,
124,21770,ICICIGI-EQ,ICICI LOMBARD GIC LIMITED,2010.1,,0.0,0.1,1,EQ,,EQ,NSE,,
125,25961,715MN39-SG,SDL MN 7.15% 2039,0.0,,0.0,0.01,100,SG,,SG,NSE,,
126,2230,693GJ31-SG,SDL GJ 6.93% 2031,0.0,,0.0,0.01,100,SG,,SG,NSE,,
127,8806,SONAMLTD-EQ,SONAM LIMITED,38.42,,0.0,0.01,1,EQ,,EQ,NSE,,
128,17003,739TN53-SG,SDL TN 7.39% 2053,0.0,,0.0,0.01,100,SG,,SG,NSE,,
129,11006,LIQUIDBEES-EQ,NIP IND ETF LIQUID BEES,1000.0,,0.0,0.01,1,EQ,,EQ,NSE,,
130,21971,664MP30-SG,SDL MP 6.64% 2030,0.0,,0.0,0.01,100,SG,,SG,NSE,,
131,755956,816ABCL29-NH,ABCL 8.16% 2029 SR K1,0.0,,0.0,0.01,1,NH,,NH,NSE,,
132,759028,732RJ35-SG,SDL RJ 7.32% 2035,0.0,,0.0,0.01,100,SG,,SG,NSE,,
133,13901,77HP38-SG,SDL HP 7.7% 2038,0.0,,0.0,0.01,100,SG,,SG,NSE,,
134,756062,676MH37-SG,SDL MH 6.76% 2037,0.0,,0.0,0.01,100,SG,,SG,NSE,,
135,759388,739JK37A-SG,SDL JK 7.39% 2037,0.0,,0.0,0.01,100,SG,,SG,NSE,,
136,14101,PTL-EQ,PTL ENTERPRISES LTD,40.06,,0.0,0.01,1,EQ,,EQ,NSE,,
137,21389,66GA30-SG,SDL GA 6.6% 2030,0.0,,0.0,0.01,100,SG,,SG,NSE,,
138,28926,925SCL29S-N1,SCL 9.25% 2029 SR VIII,0.0,,0.0,0.01,1,N1,,N1,NSE,,
139,11271,DREDGECORP-EQ,DREDGING CORP OF INDIA,606.4,,0.0,0.05,1,EQ,,EQ,NSE,,
140,18183,FISTIP3MDP-MF,FRANTEMAMC - FISTIP3MDP,0.0,,0.0,0.01,1,MF,,MF,NSE,,
141,19633,ITETF-EQ,MIRAEAMC - ITETF,36.89,,0.0,0.01,1,EQ,,EQ,NSE,,
142,10471,804AP37-SG,SDL AP 8.04% 2037,0.0,,0.0,0.01,100,SG,,SG,NSE,,
143,29001,711JK55-SG,SDL JK 7.11% 2055,0.0,,0.0,0.01,100,SG,,SG,NSE,,
144,5172,699WB30-SG,SDL WB 6.99% 2030,0.0,,0.0,0.01,100,SG,,SG,NSE,,
145,3172,GILT5YBEES-EQ,RELCAPAMC - NETFGILT5Y,63.21,,0.0,0.01,1,EQ,,EQ,NSE,,
146,7519,703HP31-SG,SDL HP 7.03% 2031,0.0,,0.0,0.01,100,SG,,SG,NSE,,
147,3103,SHREECEM-EQ,SHREE CEMENT LIMITED,30010.0,,0.0,5.0,1,EQ,,EQ,NSE,,
148,5883,684PN31-SG,SDL PN 6.84% 2031,0.0,,0.0,0.01,100,SG,,SG,NSE,,
149,7710,714WB32-SG,SDL WB 7.14% 2032,0.0,,0.0,0.01,100,SG,,SG,NSE,,
150,18521,748PN34-SG,SDL PN 7.48% 2034,0.0,,0.0,0.01,100,SG,,SG,NSE,,
151,1165,66PN30-SG,SDL PN 6.6% 2030,0.0,,0.0,0.01,100,SG,,SG,NSE,,
152,21392,MAGADSUGAR-EQ,MAGADH SUGAR & ENERGY LTD,561.0,,0.0,0.05,1,EQ,,EQ,NSE,,
153,20108,718HP32-SG,SDL HP 7.18% 2032,0.0,,0.0,0.01,100,SG,,SG,NSE,,
154,24098,738RJ33-SG,SDL RJ 7.38% 2033,0.0,,0.0,0.01,100,SG,,SG,NSE,,
155,12188,INOXGREEN-EQ,INOX GREEN ENERGY SER LTD,261.07,,0.0,0.01,1,EQ,,EQ,NSE,,
156,22839,1035UCL26-NA,SEC RE NCD 10.35% SR III,729.6,,0.0,0.01,1,,,,NSE,,
157,757728,614TN28-SG,SDL TN 6.14% 2028,0.0,,0.0,0.01,100,SG,,SG,NSE,,
158,756952,925PFL30-N0,PFL 9.25% JUN 2030,0.0,,0.0,0.01,1,N0,,N0,NSE,,
159,19375,SPCENET-BE,SPACENET ENTERS IND LTD,9.25,,0.0,0.01,1,BE,,BE,NSE,,
160,22694,743CG29-SG,SDL CG 7.43% 2029,0.0,,0.0,0.01,100,SG,,SG,NSE,,
161,24672,737IRFC29-N0,IRFC 7.37% 2029 SR 181,0.0,,0.0,0.01,1,N0,,N0,NSE,,
162,11954,735NHAI31-N9,TAX FREE7.35% SR.IIA,0.0,,0.0,0.01,1,N9,,N9,NSE,,
163,20590,803ABHF27-N2,ABHFL 8.03% 2027 SR D1,0.0,,0.0,0.01,1,N2,,N2,NSE,,
164,7030,ASIANENE-EQ,ASIAN ENERGY SERVICES LTD,342.35,,0.0,0.05,1,EQ,,EQ,NSE,,
165,19532,768UP34-SG,SDL UP 7.68% 2034,0.0,,0.0,0.01,100,SG,,SG,NSE,,
166,759296,113ESFB31-N0,ESFB 11.3% 2031 SR 2,0.0,,0.0,0.01,1,N0,,N0,NSE,,
167,1621,TATAINVEST-EQ,TATA INVESTMENT CORP LTD,906.0,,0.0,1.0,1,EQ,,EQ,NSE,,
168,2074,699JK31-SG,SDL JK 6.99% 2031,0.0,,0.0,0.01,100,SG,,SG,NSE,,
169,759289,960SCL35-N0,SCL 9.60% 2035,0.0,,0.0,0.01,1,N0,,N0,NSE,,
170,758680,REGAAL-EQ,REGAAL RESOURCES LIMITED,88.19,,0.0,0.01,1,EQ,,EQ,NSE,,
171,21979,694MP35-SG,SDL MP 6.94% 2035,0.0,,0.0,0.01,100,SG,,SG,NSE,,
172,21164,774AP36A-SG,SDL AP 7.74% 2036,0.0,,0.0,0.01,100,SG,,SG,NSE,,
173,24994,722MP45-SG,SDL MP 7.22% 2045,0.0,,0.0,0.01,100,SG,,SG,NSE,,
174,22137,75TR30-SG,SDL TR 7.5% 2030,0.0,,0.0,0.01,100,SG,,SG,NSE,,
175,15239,BIRLAMONEY-EQ,ADITYA BIRLA MONEY LTD,160.83,,0.0,0.01,1,EQ,,EQ,NSE,,
176,756789,711WB47-SG,SDL WB 7.11% 2047,0.0,,0.0,0.01,100,SG,,SG,NSE,,
177,10568,RAMAPHO-EQ,RAMA PHOSPHATES LIMITED,175.05,,0.0,0.01,1,EQ,,EQ,NSE,,
178,8934,718MH30-SG,SDL MH 7.18% 2030,0.0,,0.0,0.01,100,SG,,SG,NSE,,
179,10277,NGLFINE-EQ,NGL FINE CHEM LIMITED,1542.7,,0.0,0.1,1,EQ,,EQ,NSE,,
180,30441,709HR40-SG,SDL HR 7.09% 2040,0.0,,0.0,0.01,100,SG,,SG,NSE,,
181,18582,UNIHEALTH-SM,UNIHEALTH HOSPITALS LTD,161.2,,0.0,0.05,1000,SM,,SM,NSE,,
182,13389,767TS35-SG,SDL TS 7.67% 2035,0.0,,0.0,0.01,100,SG,,SG,NSE,,
183,17400,NHPC-EQ,NHPC LTD,86.95,,0.0,0.01,1,EQ,,EQ,NSE,,
184,23084,741AR34-SG,SDL AR 7.41% 2034,0.0,,0.0,0.01,100,SG,,SG,NSE,,
185,14506,SYSTANGO-SM,SYSTANGO TECHNOLOGIES LTD,233.0,,0.0,0.05,400,SM,,SM,NSE,,
186,3321,SPMLINFRA-EQ,SPML INFRA LIMITED,223.47,,0.0,0.01,1,EQ,,EQ,NSE,,
187,25532,925SCL26E-N1,SEC RE NCD 9.25% SR I,0.0,,0.0,0.01,1,N1,,N1,NSE,,
188,17728,ASTEC-EQ,ASTEC LIFESCIENCES LTD,727.9,,0.0,0.05,1,EQ,,EQ,NSE,,
189,1647,657HP30A-SG,SDL HP 6.57% 2030,0.0,,0.0,0.01,100,SG,,SG,NSE,,
190,1186,GLAND-EQ,GLAND PHARMA LIMITED,1917.6,,0.0,0.1,1,EQ,,EQ,NSE,,
191,19161,NEWJAISA-ST,NEWJAISA TECHNOLOGIES LTD,37.65,,0.0,0.05,1500,ST,,ST,NSE,,
192,23066,GOPAL-EQ,GOPAL SNACKS LIMITED,340.1,,0.0,0.05,1,EQ,,EQ,NSE,,
193,24892,723JK51-SG,SDL JK 7.23% 2051,0.0,,0.0,0.01,100,SG,,SG,NSE,,
194,757394,692TN45-SG,SDL TN 6.92% 2045,0.0,,0.0,0.01,100,SG,,SG,NSE,,
195,759335,753TS52-SG,SDL TS 7.53% 2052,0.0,,0.0,0.01,100,SG,,SG,NSE,,
196,23734,858CIF27-NU,CHOLA 8.58% 2027 SR 641,0.0,,0.0,0.01,1,NU,,NU,NSE,,
197,757174,930APMD34-N0,APMDC 9.30% 2034 STRPP H,104208.08,,0.0,0.01,1,N0,,N0,NSE,,
198,29706,716HR38A-SG,SDL HR 7.16% 2038,0.0,,0.0,0.01,100,SG,,SG,NSE,,
199,4432,GS220236C-GS,GOI STRIPS C 220236,0.0,,0.0,0.01,100,GS,,GS,NSE,,
200,23498,744TS53-SG,SDL TS 7.44% 2053,0.0,,0.0,0.01,100,SG,,SG,NSE,,
201,13218,SULA-EQ,SULA VINEYARDS LIMITED,249.0,,0.0,0.05,1,EQ,,EQ,NSE,,
202,1095,679MP40-SG,SDL MP 6.79% 2040,0.0,,0.0,0.01,100,SG,,SG,NSE,,
203,3083,682KL35-SG,SDL KL 6.82% 2035,0.0,,0.0,0.01,100,SG,,SG,NSE,,
204,27113,705GJ31-SG,SDL GJ 7.05% 2031,0.0,,0.0,0.01,100,SG,,SG,NSE,,
205,22135,633TN30-SG,SDL TN 6.33% 2030,0.0,,0.0,0.01,100,SG,,SG,NSE,,
206,10218,792AP42-SG,SDL AP 7.92% 2042,0.0,,0.0,0.01,100,SG,,SG,NSE,,
207,13582,ATLANTAA-BE,ATLANTAA LIMITED,47.82,,0.0,0.01,1,BE,,BE,NSE,,
208,25597,MANBA-EQ,MANBA FINANCE LIMITED,134.77,,0.0,0.01,1,EQ,,EQ,NSE,,
209,3906,CAPLIPOINT-EQ,CAPLIN POINT LAB LTD.,2015.3,,0.0,0.1,1,EQ,,EQ,NSE,,
210,14793,MEGASOFT-EQ,MEGASOFT LTD,152.57,,0.0,0.01,1,EQ,,EQ,NSE,,
211,757413,1025VCCL28-N0,VCCL 10.25% 2028,0.0,,0.0,0.01,1,N0,,N0,NSE,,
212,876,677AP38-SG,SDL AP 6.77% 2038,0.0,,0.0,0.01,100,SG,,SG,NSE,,
213,1833,663MN31-SG,SDL MN 6.63% 2031,0.0,,0.0,0.01,100,SG,,SG,NSE,,
214,758878,770AIFL29-N0,AIF 7.70 2029 PP D5STRPII,0.0,,0.0,0.01,1,N0,,N0,NSE,,
215,10619,HDFCNEXT50-EQ,HDFCAMC - HDFCNEXT50,70.46,,0.0,0.01,1,EQ,,EQ,NSE,,
216,427,681MH28-SG,SDL MH 6.81% 2028,0.0,,0.0,0.01,100,SG,,SG,NSE,,
217,23,67JK30-SG,SDL JK 6.7% 2030,0.0,,0.0,0.01,100,SG,,SG,NSE,,
218,7671,875IHFL29-ND,SEC RE NCD 8.75% SR.VII,1015.0,,0.0,0.01,1,ND,,ND,NSE,,
219,25109,724RJ34-SG,SDL RJ 7.24% 2034,0.0,,0.0,0.01,100,SG,,SG,NSE,,
220,6895,662PY28-SG,SDL PY 6.62% 2028,0.0,,0.0,0.01,100,SG,,SG,NSE,,
221,27188,718BR34-SG,SDL BR 7.18% 2034,0.0,,0.0,0.01,100,SG,,SG,NSE,,
222,583,CANFINHOME-EQ,CAN FIN HOMES LTD,804.55,,0.0,0.05,1,EQ,,EQ,NSE,,
223,10336,797AP39-SG,SDL AP 7.97% 2039,0.0,,0.0,0.01,100,SG,,SG,NSE,,
224,759182,719TN33-SG,SDL TN 7.19% 2033,0.0,,0.0,0.01,100,SG,,SG,NSE,,
225,16289,736ML32-SG,SDL ML 7.36% 2032,0.0,,0.0,0.01,100,SG,,SG,NSE,,
226,18168,BPF01D3R-MF,BARODAPAMC - BPF01D3R,0.0,,0.0,0.01,1,MF,,MF,NSE,,
227,24487,732TS36-SG,SDL TS 7.32% 2036,0.0,,0.0,0.01,100,SG,,SG,NSE,,
228,11983,SASKEN-EQ,SASKEN TECHNOLOGIES LTD,1394.0,,0.0,0.1,1,EQ,,EQ,NSE,,
229,755948,797ABCL28-N9,ABCL 7.97% 2028 SR D1,0.0,,0.0,0.01,1,N9,,N9,NSE,,
230,19111,NBIFIN-EQ,N.B.I. IND. FIN. CO. LTD,2567.8,,0.0,0.1,1,EQ,,EQ,NSE,,
231,23081,739HP34-SG,SDL HP 7.39% 2034,0.0,,0.0,0.01,100,SG,,SG,NSE,,
232,755926,671TN35-SG,SDL TN 6.71% 2035,0.0,,0.0,0.01,100,SG,,SG,NSE,,
233,13275,INDOTECH-EQ,INDO TECH TRANSFORM LTD.,1717.3,,0.0,0.1,1,EQ,,EQ,NSE,,
234,22220,717PN30A-SG,SDL PN 7.17% 2030,0.0,,0.0,0.01,100,SG,,SG,NSE,,
235,20655,898LTF29-N7,SERENCD 8.98% SR.VI OP2,1086.99,,0.0,0.01,1,N7,,N7,NSE,,
